City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,37.76,84,100,0.0,US,1675826168
1,jamestown,42.097,-79.2353,37.04,93,100,13.8,US,1675826085
2,ostrovnoy,68.0531,39.5131,30.56,77,9,22.59,RU,1675826170
3,new norfolk,-42.7826,147.0587,62.1,32,5,4.54,AU,1675826171
4,camopi,3.1655,-52.3158,71.65,99,100,1.79,GF,1675826173
5,rikitea,-23.1203,-134.9692,79.84,69,37,9.04,PF,1675826021
6,hermanus,-34.4187,19.2345,66.79,83,0,11.92,ZA,1675826175
7,ushuaia,-54.8,-68.3,47.82,89,99,7.07,AR,1675825916
8,ribeira grande,38.5167,-28.7,54.77,67,27,5.01,PT,1675826112
9,mataura,-46.1927,168.8643,51.48,51,64,11.68,NZ,1675826178
10,asfi,32.2994,-9.2372,55.8,80,6,12.82,MA,1675826178
11,busselton,-33.65,115.3333,78.98,44,0,1.61,AU,1675826179
12,fomboni,-12.28,43.7425,82.18,74,100,14.12,KM,1675826180
13,ponta do sol,32.6667,-17.1,59.63,62,37,8.32,PT,1675825966
14,vostok,46.4856,135.8833,4.28,75,61,12.28,RU,1675826181
15,kavaratti,10.5669,72.642,79.88,71,93,12.26,IN,1675826181
16,thompson,55.7435,-97.8558,4.14,98,99,2.86,CA,1675825692
17,porto novo,6.4965,2.6036,77.54,86,96,4.45,BJ,1675826183
18,namibe,-15.1961,12.1522,69.69,76,96,5.39,AO,1675826183
19,puerto maldonado,-12.6,-69.1833,72.0,98,67,1.14,PE,1675826185
20,tiksi,71.6872,128.8694,-34.17,99,99,5.99,RU,1675826187
21,vizinga,61.0749,50.1031,17.92,94,100,9.06,RU,1675826189
22,karratha,-20.7377,116.8463,95.13,37,42,10.09,AU,1675826030
23,portland,45.5234,-122.6762,46.35,88,20,5.01,US,1675826193
24,cape town,-33.9258,18.4232,69.91,74,0,14.0,ZA,1675826041
25,pokhara,28.2333,83.9833,61.61,44,48,1.57,NP,1675826194
26,arica,-18.475,-70.3042,74.75,78,0,5.75,CL,1675826194
27,cayenne,4.9333,-52.3333,77.04,88,20,3.44,GF,1675826194
28,longyearbyen,78.2186,15.6401,24.64,68,40,19.57,SJ,1675826195
29,georgetown,5.4112,100.3354,85.93,69,20,10.36,MY,1675826195
30,puerto ayora,-0.7393,-90.3518,79.56,92,55,5.01,EC,1675826122
31,uttaradit,17.6667,100.5,86.09,32,5,4.14,TH,1675826196
32,bluff,-46.6,168.3333,51.8,64,49,27.0,NZ,1675826196
33,cap malheureux,-19.9842,57.6142,78.48,79,32,5.99,MU,1675826197
34,bredasdorp,-34.5322,20.0403,64.85,81,7,6.55,ZA,1675826197
35,los llanos de aridane,28.6585,-17.9182,53.35,62,20,6.91,ES,1675826198
36,dikson,73.5069,80.5464,-6.27,91,100,22.73,RU,1675826198
37,barrow,71.2906,-156.7887,-2.18,78,100,10.36,US,1675825908
38,sale,34.0389,-6.8166,51.75,81,40,8.05,MA,1675826199
39,broken hill,-31.95,141.4333,87.37,15,0,11.79,AU,1675826199
40,butaritari,3.0707,172.7902,81.05,81,100,21.61,KI,1675825966
41,san roque,36.2107,-5.3842,52.63,82,75,8.05,ES,1675826200
42,korla,41.7597,86.1469,31.32,81,13,2.62,CN,1675826200
43,voiron,45.3639,5.5921,31.42,80,3,1.59,FR,1675826201
44,bengkulu,-3.8004,102.2655,83.62,57,65,7.02,ID,1675825970
45,mihaesti,45.0333,24.25,23.04,78,45,2.95,RO,1675826201
46,gandzak,40.3147,45.1114,18.09,93,100,2.17,AM,1675826202
47,peniche,39.3558,-9.3811,45.45,80,3,8.9,PT,1675826202
48,east london,-33.0153,27.9116,70.66,83,100,10.27,ZA,1675826107
49,chengde,40.9725,117.9361,29.93,32,7,4.52,CN,1675826203
50,dalvik,65.9702,-18.5286,24.73,81,92,13.02,IS,1675826203
51,san-pedro,4.7485,-6.6363,77.7,90,67,5.32,CI,1675826203
52,ilulissat,69.2167,-51.1,-16.58,76,40,6.91,GL,1675826120
53,margate,51.3813,1.3862,39.43,68,63,2.86,GB,1675826204
54,isangel,-19.55,169.2667,81.68,77,93,3.29,VU,1675826204
55,saint george,37.1041,-113.5841,46.99,47,0,3.0,US,1675826205
56,marawi,7.9986,124.2928,78.39,56,72,5.06,PH,1675826205
57,mindelo,16.8901,-24.9804,67.55,52,20,13.8,CV,1675826206
58,trincomalee,8.5711,81.2335,79.18,79,92,12.44,LK,1675826206
59,kapaa,22.0752,-159.319,78.78,85,75,16.11,US,1675826206
60,mehamn,71.0357,27.8492,35.55,64,35,18.41,NO,1675825981
61,norman wells,65.282,-126.8329,-7.56,77,75,4.61,CA,1675826192
62,lompoc,34.6391,-120.4579,52.02,84,0,11.99,US,1675826207
63,vaini,-21.2,-175.2,84.36,79,40,5.75,TO,1675826207
64,chokurdakh,70.6333,147.9167,-35.82,99,100,3.44,RU,1675826208
65,kodiak,57.79,-152.4072,24.31,54,0,10.36,US,1675826208
66,mareeba,-17.0,145.4333,87.44,71,92,4.38,AU,1675826208
67,marystown,47.1666,-55.1483,24.91,74,100,22.97,CA,1675826209
68,anloga,5.7947,0.8973,80.19,81,25,10.36,GH,1675826209
69,lagoa,39.05,-27.9833,55.69,58,98,14.0,PT,1675825895
70,punta arenas,-53.15,-70.9167,53.71,76,0,3.44,CL,1675826210
71,paarl,-33.7338,18.9752,67.32,85,0,8.72,ZA,1675826210
72,vardo,70.3705,31.1107,30.18,80,10,24.16,NO,1675826211
73,yellowknife,62.456,-114.3525,-3.44,84,100,6.91,CA,1675826211
74,hithadhoo,-0.6,73.0833,81.19,72,15,7.52,MV,1675826211
75,oistins,13.0667,-59.5333,75.29,88,40,11.5,BB,1675826212
76,somers,42.6403,-87.9104,35.47,72,0,6.91,US,1675826212
77,cidreira,-30.1811,-50.2056,75.36,81,10,14.34,BR,1675826213
78,khvoynaya,58.9,34.5333,23.43,93,100,10.33,RU,1675826213
79,abnub,27.2696,31.1511,45.86,60,85,3.36,EG,1675826213
80,albany,42.6001,-73.9662,35.28,78,97,3.0,US,1675826163
81,tual,-5.6667,132.75,81.86,77,99,21.25,ID,1675826214
82,labuan,5.2767,115.2417,84.56,79,20,8.05,MY,1675826214
83,cascais,38.6979,-9.4215,49.51,73,24,11.99,PT,1675826215
84,pisco,-13.7,-76.2167,73.45,88,0,11.5,PE,1675826215
85,rehli,23.6333,79.0833,62.92,34,0,3.13,IN,1675826216
86,palaikastron,35.2,26.25,45.55,57,86,28.01,GR,1675826216
87,geraldton,-28.7667,114.6,91.81,29,0,9.22,AU,1675826216
88,laguna,38.421,-121.4238,52.92,76,0,0.0,US,1675826217
89,port elizabeth,-33.918,25.5701,67.32,90,0,8.05,ZA,1675826217
90,nikolskoye,59.7035,30.7861,28.29,86,100,10.04,RU,1675826218
91,hammerfest,70.6634,23.6821,36.05,64,0,17.27,NO,1675826218
92,chuy,-33.6971,-53.4616,69.46,82,18,6.76,UY,1675826218
93,hobart,-42.8794,147.3294,62.46,69,75,13.8,AU,1675826035
94,tutoia,-2.7619,-42.2744,75.69,90,100,5.82,BR,1675826041
95,iberia,29.9502,-91.7507,69.87,86,67,7.29,US,1675826219
96,fukue,32.6881,128.8419,57.56,54,75,12.66,JP,1675826220
97,taubate,-23.0264,-45.5553,67.8,99,100,1.68,BR,1675826010
98,kieta,-6.2167,155.6333,85.73,67,31,8.43,PG,1675826220
99,sao filipe,14.8961,-24.4956,68.23,69,20,9.82,CV,1675826221
100,cabo san lucas,22.8909,-109.9124,69.51,61,75,1.01,MX,1675825995
101,ilebo,-4.3167,20.5833,70.36,95,100,2.04,CD,1675826221
102,saskylakh,71.9167,114.0833,-29.52,100,100,0.11,RU,1675826222
103,nanao,37.05,136.9667,46.6,93,98,9.69,JP,1675826222
104,sept-iles,50.2001,-66.3821,21.63,81,75,17.27,CA,1675826223
105,hilo,19.7297,-155.09,77.29,88,100,10.36,US,1675826054
106,tadine,-21.55,167.8833,81.46,77,100,10.78,NC,1675826225
107,pevek,69.7008,170.3133,-21.84,95,100,3.29,RU,1675826193
108,poso,-1.3959,120.7524,82.85,70,100,3.8,ID,1675826226
109,lethem,3.3803,-59.7968,77.54,74,31,11.1,GY,1675826227
110,algiers,36.7525,3.042,44.42,93,75,3.44,DZ,1675826228
111,tuktoyaktuk,69.4541,-133.0374,-23.8,76,100,3.44,CA,1675826229
112,tilichiki,60.4667,166.1,-18.63,90,65,9.78,RU,1675826229
113,saint-joseph,-21.3667,55.6167,79.18,80,77,13.49,RE,1675826230
114,leningradskiy,69.3833,178.4167,-24.48,95,100,4.88,RU,1675826232
115,siocon,7.7061,122.1353,84.6,65,100,3.91,PH,1675826233
116,sivas,39.7916,37.0019,12.83,92,100,8.05,TR,1675826235
117,port alfred,-33.5906,26.891,68.18,92,100,3.0,ZA,1675826236
118,boa vista,2.8197,-60.6733,80.58,69,40,12.66,BR,1675826237
119,maromitsa,59.8683,48.0123,16.02,95,99,9.69,RU,1675826237
120,atuona,-9.8,-139.0333,79.16,75,24,16.69,PF,1675826107
121,hambantota,6.1241,81.1185,79.72,75,97,16.51,LK,1675826238
122,lebu,-37.6167,-73.65,58.78,88,0,17.43,CL,1675826239
123,san quintin,30.4833,-115.95,58.48,52,0,2.19,MX,1675826240
124,camacha,33.0833,-16.3333,54.82,77,40,14.97,PT,1675826240
125,izhma,65.0083,53.9113,23.34,94,100,9.84,RU,1675826241
126,klyuchi,52.2667,79.1667,-7.53,100,94,3.62,RU,1675826242
127,poum,-20.2333,164.0167,80.17,85,100,15.88,NC,1675826243
128,qaanaaq,77.484,-69.3632,-25.42,67,6,6.13,GL,1675826244
129,carnarvon,-24.8667,113.6333,85.69,50,1,15.14,AU,1675826244
130,anda,46.4,125.3167,12.38,67,5,6.71,CN,1675826245
131,alofi,-19.0595,-169.9187,82.29,83,100,8.05,NU,1675826248
132,shitanjing,39.2342,106.3439,29.68,39,100,6.73,CN,1675826252
133,luyang,27.6239,110.0989,46.94,95,100,2.33,CN,1675826253
134,college,64.8569,-147.8028,6.78,78,75,0.0,US,1675826253
135,sahiwal,30.6667,73.1,56.16,37,31,0.83,PK,1675826254
136,arman,59.7,150.1667,-10.98,75,33,7.67,RU,1675826254
137,esperance,-33.8667,121.9,71.62,64,78,11.65,AU,1675826255
138,kulhudhuffushi,6.6221,73.07,80.17,71,70,8.77,MV,1675826255
139,san rafael,-34.6177,-68.3301,72.18,54,25,16.55,AR,1675826255
140,teguise,29.0605,-13.564,53.82,77,0,0.0,ES,1675826256
141,praia,14.9215,-23.5087,66.74,63,75,18.41,CV,1675826028
142,bandarbeyla,9.4942,50.8122,76.98,72,98,14.25,SO,1675826142
143,jaffna,9.6685,80.0074,78.6,79,40,10.83,LK,1675826257
144,rudiskes,54.5167,24.8333,24.1,90,86,5.01,LT,1675826257
145,vyazemskiy,47.5378,134.7525,1.2,75,2,11.79,RU,1675826257
146,kruisfontein,-34.0033,24.7314,64.89,83,100,4.41,ZA,1675826258
147,cherskiy,68.75,161.3,-27.76,95,100,5.64,RU,1675826258
148,khatanga,71.9667,102.5,-47.51,100,63,2.93,RU,1675826038
149,port lincoln,-34.7333,135.8667,74.95,57,23,8.72,AU,1675826259
150,arecibo,18.4724,-66.7157,75.24,93,13,13.6,PR,1675826259
151,meulaboh,4.1363,96.1285,81.81,69,84,0.92,ID,1675826260
152,dingle,10.9995,122.6711,81.63,72,100,16.35,PH,1675826260
153,flinders,-34.5833,150.8552,71.19,89,100,1.99,AU,1675826261
154,kaoma,-14.7833,24.8,62.13,99,98,4.27,ZM,1675826261
155,santa rosa,14.3122,121.1114,87.1,69,100,13.47,PH,1675826186
156,salalah,17.0151,54.0924,68.09,56,0,4.61,OM,1675826261
157,mitsamiouli,-11.3847,43.2844,81.01,78,100,10.69,KM,1675826262
158,broome,42.2506,-75.833,39.67,77,100,11.5,US,1675826262
159,hami,42.8,93.45,34.11,66,100,3.15,CN,1675826263
160,hovd,48.0056,91.6419,3.18,76,98,0.4,MN,1675826263
161,mahebourg,-20.4081,57.7,79.09,83,40,11.5,MU,1675826263
162,zyryanka,65.75,150.85,-26.79,91,100,4.16,RU,1675826264
163,taguisa,6.6983,124.0358,83.79,57,96,2.51,PH,1675826264
164,pundaguitan,6.3711,126.1689,79.45,73,96,6.26,PH,1675826265
165,daru,-9.0763,143.2092,85.24,70,99,10.4,PG,1675826265
166,lata,40.1629,-8.3327,48.07,82,31,5.46,PT,1675826083
167,vanimo,-2.6741,141.3028,77.63,95,100,8.32,PG,1675826266
168,arraial do cabo,-22.9661,-42.0278,74.75,92,100,2.33,BR,1675826266
169,san felipe,10.3399,-68.7425,70.99,96,100,5.73,VE,1675826266
170,roald,62.5833,6.1333,46.54,49,84,24.16,NO,1675826267
171,kloulklubed,7.0419,134.2556,84.7,77,100,18.1,PW,1675826267
172,labuhan,-6.8844,112.2051,77.99,86,100,7.02,ID,1675826267
173,victoria,22.2855,114.1577,68.38,83,97,13.0,HK,1675826165
174,garissa,-0.4536,39.6401,74.12,84,10,6.49,KE,1675826268
175,tasiilaq,65.6145,-37.6368,-0.24,39,0,26.84,GL,1675826268
176,yatou,37.15,122.3833,39.2,50,89,12.82,CN,1675826269
177,bacolod,10.6667,122.95,83.37,66,100,13.15,PH,1675826269
178,airai,-8.9266,125.4092,70.25,79,80,3.33,TL,1675826269
179,prince george,53.9166,-122.753,33.26,94,100,5.75,CA,1675826153
180,kerrville,30.0474,-99.1403,51.31,91,100,14.97,US,1675826270
181,saint-georges,12.0564,-61.7485,76.68,83,75,10.36,GD,1675826176
182,djibo,14.1022,-1.6306,76.59,16,95,9.51,BF,1675826270
183,salinopolis,-0.6136,-47.3561,78.35,86,100,9.24,BR,1675826271
184,dergachi,51.2328,48.7659,4.91,94,6,12.37,RU,1675826271
185,solnechnyy,50.7214,136.6319,-3.73,79,85,6.96,RU,1675826080
186,naze,28.3667,129.4833,65.32,67,95,14.34,JP,1675826272
187,ust-maya,60.4167,134.5333,-26.91,92,100,0.45,RU,1675826272
188,iqaluit,63.7506,-68.5145,-27.67,75,40,5.75,CA,1675826272
189,vicuna,-30.0319,-70.7081,56.93,59,30,1.79,CL,1675826273
190,upernavik,72.7868,-56.1549,-22.7,95,47,4.05,GL,1675825990
191,soyo,-6.1349,12.3689,78.89,83,84,6.44,AO,1675825976
192,phitsanulok,16.9167,100.5,89.55,42,2,5.39,TH,1675826200
193,uruzgan,32.8333,66.0,36.5,83,97,5.84,AF,1675826273
194,komsomolskiy,40.4272,71.7189,32.72,80,99,6.91,UZ,1675826274
195,susehri,40.1644,38.0867,7.54,91,96,2.37,TR,1675826274
196,codrington,-38.2667,141.9667,66.56,58,80,15.08,AU,1675826275
197,bilma,18.6853,12.9164,66.18,22,100,7.14,NE,1675826275
198,chara,56.9064,118.2631,-4.23,73,87,2.57,RU,1675826275
199,kyabe,9.4515,18.9449,75.31,17,7,5.75,TD,1675826276
200,pirogovskiy,55.9781,37.7336,19.74,79,100,11.18,RU,1675826276
201,avarua,-21.2078,-159.775,84.25,74,34,10.36,CK,1675826276
202,ryotsu,38.0833,138.4333,42.49,75,71,8.21,JP,1675826277
203,coquimbo,-29.9533,-71.3436,64.13,88,100,5.75,CL,1675826277
204,montevideo,-34.8335,-56.1674,76.71,66,0,11.5,UY,1675826277
205,ponta delgada,37.7333,-25.6667,56.12,82,75,9.22,PT,1675826278
206,verkhniye tatyshly,56.2912,55.8575,-12.23,100,88,3.15,RU,1675826278
207,howard springs,-12.497,131.047,89.82,58,44,7.99,AU,1675826278
208,svetlogorsk,52.6333,29.7333,9.95,97,61,2.3,BY,1675826279
209,kushmurun,52.4503,64.6311,6.15,96,100,9.4,KZ,1675826279
210,hibbing,47.4272,-92.9377,29.55,40,0,0.0,US,1675826280
211,mantua,45.1667,10.7833,30.94,75,0,2.51,IT,1675826280
212,ukiah,39.1502,-123.2078,51.64,80,0,3.44,US,1675826281
213,tessalit,20.1986,1.0114,67.98,14,57,8.23,ML,1675826281
214,vila,42.0304,-8.1588,38.28,80,71,8.59,PT,1675826282
215,roma,43.2128,-75.4557,43.83,78,100,4.0,US,1675826282
216,pokosnoye,55.5258,101.0536,9.09,90,100,4.12,RU,1675826282
217,kindu,-2.95,25.95,69.89,95,95,2.55,CD,1675826283
218,mackay,-21.15,149.2,84.69,80,98,21.72,AU,1675826283
219,marsaxlokk,35.8419,14.5431,48.81,81,100,14.97,MT,1675826284
220,kahului,20.8947,-156.47,77.02,77,40,21.85,US,1675826055
221,kano,12.0001,8.5167,60.69,51,90,2.3,NG,1675826284
222,saint-michel-des-saints,46.6834,-73.9159,32.97,97,100,12.64,CA,1675826285
223,hailun,47.45,126.9333,5.65,85,100,3.33,CN,1675826285
224,san juan,-31.5375,-68.5364,90.82,23,36,14.27,AR,1675826192
225,nagato,34.3833,131.2,51.62,53,10,11.95,JP,1675826170
226,pringsewu,-5.3582,104.9744,84.52,67,94,2.08,ID,1675826286
227,agen,44.2,0.6333,33.89,80,0,5.75,FR,1675826052
228,san patricio,28.017,-97.5169,71.89,82,92,13.49,US,1675826286
229,balkanabat,39.5108,54.3671,46.69,71,100,10.09,TM,1675826287
230,hanko,59.8333,22.95,36.05,95,100,21.99,FI,1675826287
231,bubaque,11.2833,-15.8333,75.22,65,5,13.69,GW,1675826287
232,avera,33.194,-82.5271,48.38,59,66,4.05,US,1675826288
233,malakal,9.5334,31.6605,73.09,17,0,10.16,SS,1675826288
234,port hardy,50.6996,-127.4199,39.38,93,75,5.75,CA,1675826289
235,ossora,59.2353,163.0719,-9.2,85,84,6.11,RU,1675826289
236,mar del plata,-38.0023,-57.5575,74.08,94,0,20.0,AR,1675826185
237,maningrida,-12.0667,134.2667,91.76,53,91,5.59,AU,1675826290
238,adrar,20.5022,-10.0711,58.24,24,100,11.27,MR,1675826290
239,port-gentil,-0.7193,8.7815,80.62,80,92,8.75,GA,1675826290
240,fairbanks,64.8378,-147.7164,6.8,78,100,0.0,US,1675826291
241,nuuk,64.1835,-51.7216,7.88,78,100,5.01,GL,1675826282
242,altay,47.8667,88.1167,18.79,75,100,3.15,CN,1675826291
243,sao joao da barra,-21.6403,-41.0511,73.76,94,100,3.78,BR,1675826151
244,redmond,47.674,-122.1215,46.78,82,31,5.01,US,1675826123
245,mecca,21.4267,39.8261,61.3,60,47,11.23,SA,1675826150
246,coahuayana,18.7333,-103.6833,71.26,91,18,2.35,MX,1675826292
247,talnakh,69.4865,88.3972,-9.53,98,98,7.38,RU,1675826292
248,pangai,-19.8,-174.35,84.31,70,20,8.05,TO,1675826293
249,wattegama,6.7989,81.4808,78.24,78,100,7.87,LK,1675826293
250,hamilton,39.1834,-84.5333,51.89,91,100,6.91,US,1675826293
251,gambiran,-6.7988,111.4951,75.16,93,100,3.78,ID,1675826294
252,erdenet,49.0333,104.0833,4.84,89,32,3.47,MN,1675826294
253,king city,36.2127,-121.126,49.62,69,82,2.59,US,1675826294
254,mezen,65.8522,44.24,33.96,94,98,10.85,RU,1675826295
255,ambilobe,-13.2,49.05,73.33,94,100,1.97,MG,1675826295
256,olafsvik,64.8945,-23.7142,27.77,56,100,29.28,IS,1675826295
257,valmiera,57.5411,25.4275,30.42,89,99,10.74,LV,1675826296
258,albury,-36.0833,146.9167,91.02,99,0,3.0,AU,1675826164
259,hengshui,37.7322,115.7011,40.62,35,100,7.96,CN,1675826296
260,nome,64.5011,-165.4064,-9.33,77,0,0.0,US,1675826297
261,novyy urgal,51.0736,132.5642,-17.19,84,84,0.63,RU,1675826297
262,yaan,7.3833,8.5667,76.8,20,45,4.9,NG,1675826297
263,kavieng,-2.5744,150.7967,81.99,77,100,8.81,PG,1675826298
264,rio grande,-32.035,-52.0986,73.98,72,0,15.41,BR,1675826035
265,weligama,5.9667,80.4167,76.71,87,91,4.88,LK,1675826298
266,saldanha,-33.0117,17.9442,63.72,89,0,11.79,ZA,1675826299
267,machilipatnam,16.1667,81.1333,75.56,71,100,4.25,IN,1675826299
268,saint-francois,46.4154,3.9054,21.67,93,1,3.44,FR,1675826299
269,namatanai,-3.6667,152.4333,85.73,64,92,10.67,PG,1675826300
270,manakara,-22.1333,48.0167,72.36,91,100,4.36,MG,1675826300
271,novi sad,45.2517,19.8369,27.97,56,71,5.88,RS,1675826300
272,castro,-24.7911,-50.0119,61.5,95,71,5.26,BR,1675826301
273,pavelets,53.7883,39.246,8.15,98,72,3.58,RU,1675826301
274,constitucion,-35.3333,-72.4167,59.92,69,0,9.71,CL,1675826302
275,manokwari,-0.8667,134.0833,79.84,82,100,1.03,ID,1675826302
276,narsaq,60.9167,-46.05,-12.78,65,3,8.81,GL,1675826303
